ad_id,page_name,ad_creative_body,impressions,clicks,ctr,topic,style
syn_00023,Health And Wellness Page,"When you are short on time for health and wellness, this helps. See results faster. Sign up now.",23524,406,0.01725896956299949,health and wellness,storytelling
syn_00024,Local Business Page,These tips work for local business. See results faster. Learn more.,12547,240,0.019128078425121542,local business,advice
syn_00025,Travel Deals Page,Want to do better at travel deals? Save time. Try it today.,15634,183,0.011705257771523602,travel deals,question
syn_00026,Travel Deals Page,The fast way to handle travel deals. Save time. Learn more.,25157,350,0.0139126286918154,travel deals,short and direct
syn_00027,Food And Beverage Page,Want to do better at food and beverage? Save time. Try it today.,35225,629,0.017856635911994323,food and beverage,question
syn_00028,Travel Deals Page,Want to do better at travel deals? See results faster. Sign up now.,4699,71,0.015109597786763141,travel deals,question
syn_00029,Local Business Page,A few simple steps to improve local business. Save time. See details.,5542,80,0.014435221941537351,local business,advice
syn_00030,Local Business Page,"Last week I needed help with local business, and found a better way. Cut costs. Learn more.",23589,381,0.016151596082920005,local business,storytelling
syn_00031,Health And Wellness Page,"When you are short on time for health and wellness, this helps. Save time. See details.",42945,809,0.01883804866689952,health and wellness,storytelling
syn_00032,Personal Finance App Page,These tips work for personal finance app. See results faster. Get started.,31734,582,0.018339950841368878,personal finance app,advice
syn_00033,Food And Beverage Page,How can you get faster results in food and beverage? Improve quality. Sign up now.,4954,120,0.024222850222042795,food and beverage,question
syn_00034,Health And Wellness Page,A few simple steps to improve health and wellness. Improve quality. Try it today.,9419,180,0.01911030894999469,health and wellness,advice
syn_00035,Books And Learning Page,The fast way to handle books and learning. See results faster. Sign up now.,29712,507,0.017063812600969307,books and learning,short and direct
syn_00036,Health And Wellness Page,These tips work for health and wellness. Save time. Get started.,8253,145,0.017569368714406883,health and wellness,advice
syn_00037,Online Shopping Page,These tips work for online shopping. Improve quality. Shop now.,47961,954,0.01989116156877463,online shopping,advice
syn_00038,Local Business Page,How can you get faster results in local business? Improve quality. Get started.,8722,193,0.022127952304517313,local business,question
syn_00039,Books And Learning Page,The fast way to handle books and learning. See results faster. See details.,28929,486,0.0167997511147983,books and learning,short and direct
syn_00040,Personal Finance App Page,Want to do better at personal finance app? Improve quality. Try it today.,18692,394,0.021078536272202013,personal finance app,question
syn_00041,Personal Finance App Page,A few simple steps to improve personal finance app. Improve quality. Sign up now.,41453,633,0.015270306129833787,personal finance app,advice
syn_00042,Local Business Page,The fast way to handle local business. Save time. See details.,36730,632,0.01720664307105908,local business,short and direct
syn_00043,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Save time. Get started.",36568,635,0.01736490921023846,personal finance app,storytelling
syn_00044,Online Shopping Page,Want to do better at online shopping? See results faster. See details.,27702,491,0.017724352032344234,online shopping,question
syn_00045,Travel Deals Page,"Last week I needed help with travel deals, and found a better way. Cut costs. Learn more.",19049,375,0.01968607275972492,travel deals,storytelling
syn_00046,Health And Wellness Page,The fast way to handle health and wellness. Cut costs. Get started.,9690,153,0.015789473684210527,health and wellness,short and direct
syn_00047,Fitness Coaching Page,These tips work for fitness coaching. See results faster. Try it today.,8898,149,0.01674533603056867,fitness coaching,advice
syn_00048,Online Shopping Page,Want to do better at online shopping? Save time. Learn more.,17310,370,0.021374927787406125,online shopping,question
syn_00049,Travel Deals Page,Make travel deals easier today. Cut costs. Sign up now.,33353,542,0.016250412256768508,travel deals,short and direct
syn_00050,Online Shopping Page,The fast way to handle online shopping. See results faster. See details.,2370,35,0.014767932489451477,online shopping,short and direct
syn_00051,Local Business Page,The fast way to handle local business. See results faster. Get started.,6839,103,0.015060681386167568,local business,short and direct
syn_00052,Health And Wellness Page,"Last week I needed help with health and wellness, and found a better way. Save time. See details.",25365,444,0.017504435245416915,health and wellness,storytelling
syn_00053,Local Business Page,"Last week I needed help with local business, and found a better way. Improve quality. Learn more.",25436,507,0.019932379304922157,local business,storytelling
syn_00054,Food And Beverage Page,"When you are short on time for food and beverage, this helps. See results faster. Get started.",15389,200,0.012996296055624147,food and beverage,storytelling
syn_00055,Travel Deals Page,Want to do better at travel deals? Improve quality. Shop now.,25711,529,0.020574851230990628,travel deals,question
syn_00056,Fitness Coaching Page,A few simple steps to improve fitness coaching. Save time. Get started.,48677,830,0.017051174065780553,fitness coaching,advice
syn_00057,Local Business Page,The fast way to handle local business. Improve quality. Sign up now.,15606,305,0.019543765218505704,local business,short and direct
syn_00058,Travel Deals Page,Make travel deals easier today. Improve quality. Learn more.,30169,565,0.01872783320627134,travel deals,short and direct
syn_00059,Books And Learning Page,"Last week I needed help with books and learning, and found a better way. See results faster. Get started.",28115,495,0.01760626000355682,books and learning,storytelling
syn_00060,Travel Deals Page,Make travel deals easier today. See results faster. Try it today.,9728,216,0.022203947368421052,travel deals,short and direct
syn_00061,Books And Learning Page,"When you are short on time for books and learning, this helps. Cut costs. Try it today.",46704,780,0.01670092497430627,books and learning,storytelling
syn_00062,Books And Learning Page,Want to do better at books and learning? Cut costs. Try it today.,13125,238,0.018133333333333335,books and learning,question
syn_00063,Travel Deals Page,How can you get faster results in travel deals? Save time. See details.,40003,734,0.01834862385321101,travel deals,question
syn_00064,Local Business Page,"When you are short on time for local business, this helps. Save time. Get started.",6649,114,0.017145435403820124,local business,storytelling
syn_00065,Health And Wellness Page,These tips work for health and wellness. Improve quality. Sign up now.,19209,292,0.015201207767192462,health and wellness,advice
syn_00066,Local Business Page,These tips work for local business. Save time. Sign up now.,49733,566,0.011380773329579957,local business,advice
syn_00067,Online Shopping Page,The fast way to handle online shopping. Cut costs. See details.,37503,621,0.01655867530597552,online shopping,short and direct
syn_00068,Food And Beverage Page,How can you get faster results in food and beverage? Cut costs. Shop now.,16481,359,0.021782658819246403,food and beverage,question
syn_00069,Food And Beverage Page,These tips work for food and beverage. See results faster. See details.,16068,312,0.019417475728155338,food and beverage,advice
syn_00070,Books And Learning Page,The fast way to handle books and learning. See results faster. Try it today.,27381,413,0.01508345202877908,books and learning,short and direct
syn_00071,Food And Beverage Page,Want to do better at food and beverage? See results faster. Try it today.,1840,26,0.014130434782608696,food and beverage,question
syn_00072,Travel Deals Page,"Last week I needed help with travel deals, and found a better way. Save time. Sign up now.",37011,681,0.018399935154413554,travel deals,storytelling
syn_00073,Local Business Page,"When you are short on time for local business, this helps. Cut costs. Shop now.",43850,767,0.01749144811858609,local business,storytelling
syn_00074,Health And Wellness Page,How can you get faster results in health and wellness? Save time. Shop now.,14688,306,0.020833333333333332,health and wellness,question
syn_00075,Travel Deals Page,Make travel deals easier today. Cut costs. Shop now.,3223,45,0.013962147067949116,travel deals,short and direct
syn_00076,Online Shopping Page,Make online shopping easier today. See results faster. See details.,37160,659,0.017734122712594187,online shopping,short and direct
syn_00077,Books And Learning Page,The fast way to handle books and learning. Cut costs. Sign up now.,7419,164,0.02210540504111066,books and learning,short and direct
syn_00078,Health And Wellness Page,These tips work for health and wellness. Cut costs. Shop now.,13090,232,0.017723453017570664,health and wellness,advice
syn_00079,Local Business Page,"Last week I needed help with local business, and found a better way. Cut costs. Shop now.",13909,259,0.018621036738802214,local business,storytelling
syn_00080,Books And Learning Page,"Last week I needed help with books and learning, and found a better way. See results faster. Shop now.",37057,723,0.019510483849205278,books and learning,storytelling
syn_00081,Books And Learning Page,These tips work for books and learning. See results faster. Learn more.,16912,260,0.015373699148533586,books and learning,advice
syn_00082,Local Business Page,How can you get faster results in local business? Save time. Shop now.,38698,902,0.023308698123934053,local business,question
syn_00083,Local Business Page,"Last week I needed help with local business, and found a better way. Cut costs. Sign up now.",16955,343,0.020230020642878207,local business,storytelling
syn_00084,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Improve quality. Try it today.",2529,47,0.018584420719652037,personal finance app,storytelling
syn_00085,Books And Learning Page,Want to do better at books and learning? Save time. Try it today.,10758,219,0.020356943669827106,books and learning,question
syn_00086,Books And Learning Page,These tips work for books and learning. Improve quality. Get started.,36392,491,0.013491976258518355,books and learning,advice
syn_00087,Health And Wellness Page,The fast way to handle health and wellness. Save time. Get started.,7560,178,0.023544973544973546,health and wellness,short and direct
syn_00088,Online Shopping Page,"When you are short on time for online shopping, this helps. See results faster. Try it today.",7163,144,0.020103308669551862,online shopping,storytelling
syn_00089,Online Shopping Page,"When you are short on time for online shopping, this helps. See results faster. Shop now.",28595,537,0.01877950690680189,online shopping,storytelling
syn_00090,Online Shopping Page,"When you are short on time for online shopping, this helps. Cut costs. Get started.",42376,716,0.01689635642816689,online shopping,storytelling
syn_00091,Books And Learning Page,The fast way to handle books and learning. See results faster. Shop now.,6690,124,0.018535127055306428,books and learning,short and direct
syn_00092,Fitness Coaching Page,How can you get faster results in fitness coaching? Cut costs. Sign up now.,36742,795,0.021637363235534265,fitness coaching,question
syn_00093,Fitness Coaching Page,"When you are short on time for fitness coaching, this helps. See results faster. Learn more.",17214,307,0.01783432090159173,fitness coaching,storytelling
syn_00094,Food And Beverage Page,"When you are short on time for food and beverage, this helps. Save time. See details.",28106,553,0.019675514125097843,food and beverage,storytelling
syn_00095,Personal Finance App Page,These tips work for personal finance app. Cut costs. Learn more.,22344,328,0.014679556032939491,personal finance app,advice
syn_00096,Online Shopping Page,Make online shopping easier today. Improve quality. Shop now.,7684,142,0.018479958355023425,online shopping,short and direct
syn_00097,Online Shopping Page,Make online shopping easier today. See results faster. Get started.,19316,315,0.0163077241664941,online shopping,short and direct
syn_00098,Travel Deals Page,Want to do better at travel deals? Save time. Sign up now.,22020,289,0.013124432334241598,travel deals,question
syn_00099,Fitness Coaching Page,Make fitness coaching easier today. Improve quality. Sign up now.,15331,262,0.017089557106516207,fitness coaching,short and direct
syn_00100,Fitness Coaching Page,How can you get faster results in fitness coaching? Cut costs. Sign up now.,34477,698,0.02024538097862343,fitness coaching,question
syn_00101,Local Business Page,Want to do better at local business? Save time. Get started.,14768,274,0.018553629469122427,local business,question
syn_00102,Books And Learning Page,How can you get faster results in books and learning? Save time. See details.,12899,253,0.019613923559965888,books and learning,question
syn_00103,Online Shopping Page,"When you are short on time for online shopping, this helps. Save time. Learn more.",12648,275,0.021742567994939913,online shopping,storytelling
syn_00104,Online Shopping Page,Make online shopping easier today. Cut costs. See details.,1069,9,0.00841908325537886,online shopping,short and direct
syn_00105,Health And Wellness Page,Want to do better at health and wellness? Improve quality. Learn more.,1067,21,0.019681349578256794,health and wellness,question
syn_00106,Travel Deals Page,How can you get faster results in travel deals? Save time. Sign up now.,14959,232,0.015509058092118458,travel deals,question
syn_00107,Personal Finance App Page,These tips work for personal finance app. Save time. Learn more.,42590,746,0.01751584879079596,personal finance app,advice
syn_00108,Books And Learning Page,The fast way to handle books and learning. Improve quality. See details.,6395,108,0.016888193901485535,books and learning,short and direct
syn_00109,Food And Beverage Page,How can you get faster results in food and beverage? Cut costs. Try it today.,6946,154,0.022171033688453787,food and beverage,question
syn_00110,Books And Learning Page,How can you get faster results in books and learning? Cut costs. Sign up now.,3408,56,0.01643192488262911,books and learning,question
syn_00111,Personal Finance App Page,"When you are short on time for personal finance app, this helps. Save time. See details.",10297,245,0.02379333786539769,personal finance app,storytelling
syn_00112,Local Business Page,These tips work for local business. Improve quality. Get started.,1015,21,0.020689655172413793,local business,advice
syn_00113,Books And Learning Page,The fast way to handle books and learning. Improve quality. Try it today.,2883,44,0.015261879986125564,books and learning,short and direct
syn_00114,Health And Wellness Page,The fast way to handle health and wellness. Improve quality. Learn more.,19317,324,0.01677279080602578,health and wellness,short and direct
syn_00115,Health And Wellness Page,A few simple steps to improve health and wellness. Cut costs. Sign up now.,49017,902,0.01840177897464145,health and wellness,advice
syn_00116,Books And Learning Page,Want to do better at books and learning? Save time. Learn more.,27429,627,0.02285901782784644,books and learning,question
syn_00117,Books And Learning Page,How can you get faster results in books and learning? Cut costs. Sign up now.,15626,252,0.01612696787405606,books and learning,question
syn_00118,Travel Deals Page,Make travel deals easier today. See results faster. Learn more.,34791,644,0.01851053433359202,travel deals,short and direct
syn_00119,Food And Beverage Page,"Last week I needed help with food and beverage, and found a better way. Cut costs. Sign up now.",20678,379,0.018328658477609054,food and beverage,storytelling
syn_00120,Health And Wellness Page,"Last week I needed help with health and wellness, and found a better way. Cut costs. Shop now.",39450,667,0.016907477820025347,health and wellness,storytelling
syn_00121,Books And Learning Page,"When you are short on time for books and learning, this helps. Cut costs. See details.",30860,492,0.01594296824368114,books and learning,storytelling
syn_00122,Fitness Coaching Page,These tips work for fitness coaching. See results faster. See details.,46086,732,0.015883348522327822,fitness coaching,advice
syn_00123,Travel Deals Page,Want to do better at travel deals? Save time. Sign up now.,2574,54,0.02097902097902098,travel deals,question
syn_00124,Online Shopping Page,These tips work for online shopping. Improve quality. Try it today.,26859,422,0.01571167951152314,online shopping,advice
syn_00125,Local Business Page,"Last week I needed help with local business, and found a better way. Save time. Sign up now.",31599,669,0.021171556061900694,local business,storytelling
syn_00126,Local Business Page,Want to do better at local business? See results faster. Learn more.,12899,248,0.019226296612140478,local business,question
syn_00127,Travel Deals Page,"When you are short on time for travel deals, this helps. Cut costs. Try it today.",16270,287,0.01763982790411801,travel deals,storytelling
syn_00128,Travel Deals Page,A few simple steps to improve travel deals. See results faster. Learn more.,4620,93,0.02012987012987013,travel deals,advice
syn_00129,Personal Finance App Page,The fast way to handle personal finance app. Improve quality. Learn more.,14606,277,0.018964808982609885,personal finance app,short and direct
syn_00130,Fitness Coaching Page,A few simple steps to improve fitness coaching. Cut costs. See details.,35543,515,0.014489491601721858,fitness coaching,advice
syn_00131,Fitness Coaching Page,The fast way to handle fitness coaching. Improve quality. Try it today.,42942,700,0.016301057239998137,fitness coaching,short and direct
syn_00132,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Improve quality. Get started.",4569,84,0.018384766907419567,personal finance app,storytelling
syn_00133,Personal Finance App Page,The fast way to handle personal finance app. Cut costs. Try it today.,49776,979,0.019668113146898102,personal finance app,short and direct
syn_00134,Food And Beverage Page,Want to do better at food and beverage? Save time. See details.,17214,339,0.01969327291739282,food and beverage,question
syn_00135,Fitness Coaching Page,These tips work for fitness coaching. Improve quality. Get started.,1327,21,0.015825169555388093,fitness coaching,advice
syn_00136,Online Shopping Page,These tips work for online shopping. Improve quality. Get started.,46081,908,0.019704433497536946,online shopping,advice
syn_00137,Travel Deals Page,Want to do better at travel deals? Save time. Try it today.,49465,908,0.018356413625796018,travel deals,question
syn_00138,Food And Beverage Page,Make food and beverage easier today. Save time. Get started.,16966,280,0.01650359542614641,food and beverage,short and direct
syn_00139,Travel Deals Page,Want to do better at travel deals? Save time. Shop now.,4738,92,0.019417475728155338,travel deals,question
syn_00140,Online Shopping Page,How can you get faster results in online shopping? See results faster. Get started.,47083,901,0.019136418664910903,online shopping,question
syn_00141,Fitness Coaching Page,Make fitness coaching easier today. Save time. See details.,2996,38,0.012683578104138851,fitness coaching,short and direct
syn_00142,Personal Finance App Page,How can you get faster results in personal finance app? Save time. See details.,42822,798,0.0186352809303629,personal finance app,question
syn_00143,Food And Beverage Page,Want to do better at food and beverage? Cut costs. Shop now.,32169,619,0.019242127514066336,food and beverage,question
syn_00144,Personal Finance App Page,"When you are short on time for personal finance app, this helps. Improve quality. Sign up now.",44154,863,0.019545228065407438,personal finance app,storytelling
syn_00145,Food And Beverage Page,A few simple steps to improve food and beverage. Improve quality. See details.,17452,338,0.0193674077469631,food and beverage,advice
syn_00146,Health And Wellness Page,Want to do better at health and wellness? See results faster. Shop now.,15805,319,0.02018348623853211,health and wellness,question
syn_00147,Books And Learning Page,How can you get faster results in books and learning? See results faster. Learn more.,29686,524,0.017651418176918413,books and learning,question
syn_00148,Travel Deals Page,These tips work for travel deals. Cut costs. Get started.,20061,292,0.014555605403519266,travel deals,advice
syn_00149,Fitness Coaching Page,These tips work for fitness coaching. Improve quality. Shop now.,9533,139,0.014580929403125983,fitness coaching,advice
syn_00150,Local Business Page,"When you are short on time for local business, this helps. See results faster. Get started.",7806,137,0.017550602100947988,local business,storytelling
syn_00151,Local Business Page,"When you are short on time for local business, this helps. Cut costs. See details.",30245,487,0.01610183501405191,local business,storytelling
syn_00152,Online Shopping Page,Want to do better at online shopping? Cut costs. Get started.,44047,1000,0.02270302177219788,online shopping,question
syn_00153,Fitness Coaching Page,The fast way to handle fitness coaching. Save time. Sign up now.,24293,441,0.018153377516156918,fitness coaching,short and direct
syn_00154,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Cut costs. Sign up now.",40613,900,0.022160391992711692,personal finance app,storytelling
syn_00155,Health And Wellness Page,Make health and wellness easier today. Cut costs. Try it today.,22452,533,0.023739533226438625,health and wellness,short and direct
syn_00156,Travel Deals Page,These tips work for travel deals. Improve quality. Get started.,48541,1073,0.022105024618363858,travel deals,advice
syn_00157,Online Shopping Page,A few simple steps to improve online shopping. Improve quality. Shop now.,37699,563,0.014934083132178573,online shopping,advice
syn_00158,Travel Deals Page,These tips work for travel deals. Cut costs. Shop now.,43103,736,0.01707537758392687,travel deals,advice
syn_00159,Food And Beverage Page,"Last week I needed help with food and beverage, and found a better way. See results faster. Sign up now.",23676,381,0.01609224531170806,food and beverage,storytelling
syn_00160,Books And Learning Page,The fast way to handle books and learning. Improve quality. Shop now.,13891,240,0.017277373839176446,books and learning,short and direct
syn_00161,Travel Deals Page,"Last week I needed help with travel deals, and found a better way. Save time. See details.",46295,675,0.01458040825143104,travel deals,storytelling
syn_00162,Local Business Page,The fast way to handle local business. Save time. Get started.,38324,698,0.01821313015342866,local business,short and direct
syn_00163,Travel Deals Page,The fast way to handle travel deals. Improve quality. Shop now.,35892,764,0.02128608046361306,travel deals,short and direct
syn_00164,Health And Wellness Page,These tips work for health and wellness. Save time. See details.,13738,243,0.017688164216043092,health and wellness,advice
syn_00165,Fitness Coaching Page,These tips work for fitness coaching. Cut costs. Get started.,34122,621,0.01819940214524354,fitness coaching,advice
syn_00166,Food And Beverage Page,A few simple steps to improve food and beverage. Cut costs. Sign up now.,26590,364,0.013689356901090636,food and beverage,advice
syn_00167,Local Business Page,These tips work for local business. Cut costs. Learn more.,17923,190,0.010600903866540199,local business,advice
syn_00168,Travel Deals Page,How can you get faster results in travel deals? Save time. Get started.,43424,839,0.01932111274871039,travel deals,question
syn_00169,Local Business Page,"When you are short on time for local business, this helps. Cut costs. Learn more.",10029,152,0.015156047462359159,local business,storytelling
syn_00170,Local Business Page,The fast way to handle local business. Save time. See details.,6671,101,0.015140158896717134,local business,short and direct
syn_00171,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Improve quality. Learn more.",29083,526,0.018086167176701164,personal finance app,storytelling
syn_00172,Fitness Coaching Page,How can you get faster results in fitness coaching? Improve quality. Get started.,4855,119,0.02451081359423275,fitness coaching,question
syn_00173,Online Shopping Page,"Last week I needed help with online shopping, and found a better way. See results faster. Sign up now.",4104,63,0.015350877192982455,online shopping,storytelling
syn_00174,Travel Deals Page,These tips work for travel deals. Cut costs. See details.,44459,569,0.012798308553948581,travel deals,advice
syn_00175,Health And Wellness Page,"When you are short on time for health and wellness, this helps. Cut costs. Try it today.",47993,676,0.0140853874523368,health and wellness,storytelling
syn_00176,Food And Beverage Page,A few simple steps to improve food and beverage. Cut costs. Learn more.,49212,844,0.01715028854750874,food and beverage,advice
syn_00177,Local Business Page,A few simple steps to improve local business. Save time. Try it today.,37322,619,0.016585391993998177,local business,advice
syn_00178,Travel Deals Page,These tips work for travel deals. Cut costs. Shop now.,17873,258,0.014435181558775807,travel deals,advice
syn_00179,Books And Learning Page,These tips work for books and learning. Improve quality. Shop now.,43816,798,0.01821252510498448,books and learning,advice
syn_00180,Books And Learning Page,Want to do better at books and learning? Cut costs. Learn more.,47536,1018,0.021415348367553013,books and learning,question
syn_00181,Food And Beverage Page,A few simple steps to improve food and beverage. See results faster. Get started.,49739,822,0.01652626711433684,food and beverage,advice
syn_00182,Travel Deals Page,These tips work for travel deals. Cut costs. Sign up now.,16516,268,0.01622668927100993,travel deals,advice
syn_00183,Personal Finance App Page,These tips work for personal finance app. Cut costs. Shop now.,5813,149,0.02563220368140375,personal finance app,advice
syn_00184,Books And Learning Page,A few simple steps to improve books and learning. Save time. Learn more.,3321,50,0.015055706112616682,books and learning,advice
syn_00185,Food And Beverage Page,"When you are short on time for food and beverage, this helps. See results faster. Shop now.",12906,239,0.018518518518518517,food and beverage,storytelling
syn_00186,Health And Wellness Page,Make health and wellness easier today. Cut costs. Shop now.,32069,359,0.011194611618697184,health and wellness,short and direct
syn_00187,Books And Learning Page,Make books and learning easier today. Cut costs. See details.,19717,321,0.016280367195820867,books and learning,short and direct
syn_00188,Food And Beverage Page,"Last week I needed help with food and beverage, and found a better way. See results faster. Shop now.",8253,144,0.017448200654307525,food and beverage,storytelling
syn_00189,Health And Wellness Page,Make health and wellness easier today. Cut costs. Learn more.,881,16,0.018161180476730987,health and wellness,short and direct
syn_00190,Food And Beverage Page,How can you get faster results in food and beverage? Save time. Sign up now.,2238,25,0.011170688114387846,food and beverage,question
syn_00191,Local Business Page,Want to do better at local business? Cut costs. Learn more.,17188,309,0.017977658831743078,local business,question
syn_00192,Food And Beverage Page,How can you get faster results in food and beverage? See results faster. Shop now.,17200,297,0.017267441860465117,food and beverage,question
syn_00193,Personal Finance App Page,The fast way to handle personal finance app. Save time. Shop now.,12030,190,0.015793848711554447,personal finance app,short and direct
syn_00194,Books And Learning Page,The fast way to handle books and learning. Improve quality. Learn more.,30496,518,0.016985834207764953,books and learning,short and direct
syn_00195,Travel Deals Page,The fast way to handle travel deals. Cut costs. See details.,3130,61,0.019488817891373803,travel deals,short and direct
syn_00196,Books And Learning Page,The fast way to handle books and learning. Save time. Sign up now.,35548,514,0.014459322606053787,books and learning,short and direct
syn_00197,Travel Deals Page,Make travel deals easier today. Cut costs. Get started.,31311,387,0.012359873526875538,travel deals,short and direct
syn_00198,Health And Wellness Page,"Last week I needed help with health and wellness, and found a better way. Save time. Sign up now.",27035,511,0.01890142407989643,health and wellness,storytelling
syn_00199,Local Business Page,Make local business easier today. See results faster. Get started.,31260,481,0.015387076135636597,local business,short and direct
syn_00200,Travel Deals Page,A few simple steps to improve travel deals. Save time. See details.,48438,844,0.017424336264915977,travel deals,advice
syn_00201,Personal Finance App Page,How can you get faster results in personal finance app? Improve quality. Sign up now.,30488,537,0.01761348727368145,personal finance app,question
syn_00202,Online Shopping Page,"When you are short on time for online shopping, this helps. Improve quality. Learn more.",15384,300,0.01950078003120125,online shopping,storytelling
syn_00203,Online Shopping Page,Make online shopping easier today. See results faster. Learn more.,11444,212,0.018524991261796575,online shopping,short and direct
syn_00204,Food And Beverage Page,These tips work for food and beverage. Improve quality. See details.,35343,605,0.017117958294428883,food and beverage,advice
syn_00205,Travel Deals Page,The fast way to handle travel deals. See results faster. Get started.,8941,185,0.020691197852589195,travel deals,short and direct
syn_00206,Travel Deals Page,The fast way to handle travel deals. Improve quality. See details.,33775,608,0.018001480384900074,travel deals,short and direct
syn_00207,Personal Finance App Page,The fast way to handle personal finance app. See results faster. Get started.,34900,537,0.015386819484240687,personal finance app,short and direct
syn_00208,Books And Learning Page,How can you get faster results in books and learning? Improve quality. Get started.,29228,651,0.0222731627206788,books and learning,question
syn_00209,Food And Beverage Page,How can you get faster results in food and beverage? Improve quality. Try it today.,29564,600,0.02029495332160736,food and beverage,question
syn_00210,Fitness Coaching Page,Make fitness coaching easier today. See results faster. Shop now.,36303,670,0.018455775004820537,fitness coaching,short and direct
syn_00211,Local Business Page,The fast way to handle local business. Improve quality. Shop now.,3285,73,0.022222222222222223,local business,short and direct
syn_00212,Fitness Coaching Page,A few simple steps to improve fitness coaching. See results faster. See details.,8488,187,0.0220311027332705,fitness coaching,advice
syn_00213,Health And Wellness Page,These tips work for health and wellness. See results faster. Sign up now.,12179,211,0.017324903522456688,health and wellness,advice
syn_00214,Personal Finance App Page,A few simple steps to improve personal finance app. See results faster. Shop now.,27006,508,0.018810634673776198,personal finance app,advice
syn_00215,Food And Beverage Page,How can you get faster results in food and beverage? Improve quality. Learn more.,36507,643,0.01761306050894349,food and beverage,question
syn_00216,Travel Deals Page,Make travel deals easier today. Cut costs. Learn more.,2530,29,0.011462450592885375,travel deals,short and direct
syn_00217,Local Business Page,"Last week I needed help with local business, and found a better way. Save time. Shop now.",39964,730,0.018266439795816235,local business,storytelling
syn_00218,Food And Beverage Page,Want to do better at food and beverage? Save time. Try it today.,13856,229,0.016527136258660508,food and beverage,question
syn_00219,Local Business Page,How can you get faster results in local business? Save time. Sign up now.,9579,193,0.020148240943731077,local business,question
syn_00220,Local Business Page,"When you are short on time for local business, this helps. Improve quality. Learn more.",32506,465,0.014305051375130745,local business,storytelling
syn_00221,Personal Finance App Page,How can you get faster results in personal finance app? See results faster. Learn more.,44015,1030,0.02340111325684426,personal finance app,question
